sentences,toxic
thật tuyệt vời...!!!,0
"mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó",0
"tôi thấy người lái xe hơi bấm còi mới là người rất lịch sự quá văn minh.đường xá là của chung,người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.",1
coi dịch là giặc. đã mang tên đó mà xâm nhập vn thì phải đầu hàng hoặc cút xéo. vn luôn tự hào!,0
"thương các bé quá! các con còn quá nhỏ mà đã phải sớm rời xa cha mẹ! xin chia buồn cùng các gia đình các con, cầu mong các con thật vui ở thế giới mới!",0
sevila đoạt cúp sau loạt đá luân lưu nha,0
angelina jolie có đôi bàn tay nổi gân guốc quá!,0
"tôi không biết bà ấy làm thế nào để xử lý gã ấy, chỉ thấy đánh bùm bùm .",0
tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,0
không trung sẽ không còn yên tĩnh,0
"dí súng vào người khác bóp cò, đạn khong nổ, khong thuộc trường hợp có tính côn đồ !? bó tay luônđề nghị giảm án cho anh đi",0
em quá giỏi. em nên tham gia thành lập clb tiếng anh. ở các giáo xứ nhà chùa các trường anh ngữ có sự tham gia của các hội thiện nguyện... hãy cho các em không có điều kiện học ngoại ngữ một cơ hội ước mơ,0
"mình học đại học bên mỹ mà nhiều khi giáo sư còn dặn chỉ được lôi điện thoại hay laptop để ghi chép thôi đó. suốt mấy năm mình chỉ dùng điện thoại để chụp hình bài giảng nếu ghi không kịp hay thu âm cái gì quan trọng. sau giờ học thì dĩ nhiên là phải dùng máy móc các thứ để làm bài, nhưng trong giờ giảng thì vẫn học theo cách truyền thống thôi. cho học sinh dùng máy vi tính với những môn đặc biệt hay để thuyết trình thì nghe còn có lí. chưa kể học sinh mà dùng điện thoại thì chuyện quay chụp lén sẽ rất khó kiểm soát.",0
toi cực sợ rắn nhưng khi xem clip này toi lại cực mắc cười xd,0
phản ánh một thực tế khoảng cách giàu nghèo ngày càng lớn. vẫn còn nhiều đứa trẻ không biết bánh trung thu là gì. chạnh lòng.,0
messi vẫn chơi hay nhất trận.,0
ở đâu cũng có những kẻ dở hơi!,1
"không thể nào xót xa hơn khi nghĩ tới việc bé bị bỏ rơi thế này. căm phẫn loại người đi làm chuyện này. mong bé khỏe mạnh. các bạn làm công tác bảo vệ sự sống thai nhi thật tuyệt vời, mong các bạn sức khỏe.",0
kia - soluto thì thiếu tí tẹo.,0
may là rắn không có độc không thì cá gặp diêm vương rồi,0
"công an thực hiện nhiệm vụ vô cùng tuyệt vời cho dân, cho nước. nhiệm vụ vô cùng nguy hiểm với côn đồ có súng nhưng đã bắt được bọn buôn ma túy lớn. cảm ởn các anh rất nhiều !!!!!",0
thích vụ khong tạo scandal!,0
"có lẽ đây là lý do nhiều người miền nam có màu da sạm hơn đồng bào miền bắc,vì mọi món đều cho chút đường.",0
đọc tin mà thấy căm hờnmặt người dạ thú chẳng còn lương trisói lang chẳng chút từ bixuống tay tàn bạo khác chi hung thầnvừa tồi vừa ác vừa bầnkịch khung mà xử chẳng cần phải nươngđau lòng xin thắp nén hươngtiễn người về chốn thiên đường xa xăm.,1
rất hay,0
mong chính quyền thành phố dẹp hết giang hồ cho mọi người được nhờ.,0
biden - harris sẽ thắng.,0
"nhập một két nước 24 chai có 60 ngàn tính ra có 2.500 đ chai. trong khi bao nhiêu lượt vận chuyển, bôc vác và lưu kho, thật sự không biết nước đó bổ béo gì không mà thanh niên uống ngày mấy chai",0
"xinh đẹp,tài giỏi,có trình độ,hiểu biết rộng nên đi làm diễn viên.",0
"cảm ơn tất cả các bạn , chúng tôi vô cùng biết ơn và yêu mến các bạn :vn:",0
"bàn tay nhanh nhẹn quá, chúc mừng chú, gia đình là quan trọng nhất",0
cái đầm cửa hà kiều anh trông nhạt nhẽo quá !,1
cũng đẹp,0
sĩ quan này rất thẳng thắn và mạnh mẽ. tôi hy vọng biden sẽ trở thành tân tổng thống của hoa kỳ,0
"hở ra 1 cái là kêu gọi hi sinh kinh tế, làm gì thì cũng phải hợp lí , chống dịch là để sống nhưng khong có kinh tế thì sống kiểu gì",0
tuổi thơ mình gắn liền với hai tác phẩm. dế mèn phiêu lưu ký và bẩy viên ngọc rồng. ngoài ra vẫn còn một số tác phẩm khác. cái tết của mèo con. giờ già quá rùi,0
lần đầu tiên quê hương ninh bình của mình có thí sinh vào chung kết. chúc cháu thành công mang vinh quang về,0
"đúng là để messi tự do sẽ rất nguy hiểm. đối thủ cứ lo kèm messi. mà quên rằng trái bóng không nhất thiết phải qua chân messi nữa, mà nó sẽ đến vị trí của cầu thủ nào đang chiếm được khoảng trống. bóng đá hiện đại là thế. chúc mừng barca đã đi đúng hướng. chúc mừng messi đã trút bỏ áp lực.",0
chúc mừng và cảm ơn các bạn. hy vọng netflix sẽ mua bản quyền phát hành online toàn thế giới phim ròm để tụi mình có thể thưởng thức.,0
vậy mà ở london thì người dân lại biểu tình đòi tháo khẩu trang ra.,0
tôi không thể để cậu ấy rời clb. messi là cầu thủ hay nhất mọi thời đại và đội bóng cần cậu ấy. sở hữu messi là một sự đảm bảo thành công.,0
"học đại học còn có mấy bạn vô ý thức, quan trọng con người thôi",1
"quê hương đất quảng rất tự hào và kiên cường trong mọi thời kỳ, sinh ra những anh kiệt làm rạng rỡ đất việt. cảm ơn các tác giả.",0
"1. tham gia bảo hiểm lúc chưa cần, vì lúc cần rồi thì khong tham gia đc nữa, nếu đc thì phí cũng rất cao.2. tham gia càng sớm phí đóng càng thấp3. lúc nằm 1 chỗ, đóng bỉm mới thấy có bảo hiểm nó lợi hơn ở chỗ nào",0
vậy thì luật này vẫn chưa có sức dăn đeđã là luật thì sao không thực hiện đúng.dù đó là ai? và có thế nào thì cũng phải chịu chứ. nếu giam nó 6 tháng rồi tháng thứ ba lại vờ vĩnh bị ốm yếu thế là xong à .,1
"ngoại ngữ như tiếng mẹ đẻ thôi,",0
"thắng là vui rồi! đội bóng lớn phải là đội không những phải biết vùi dập đối thủ trong một ngày đẹp trời mà còn phải biết kiếm được 3 điểm trong một ngày mình chơi không tốt! chúc mừng gooner, tôi tin là năm nay với những con người này, arsenal sẽ tạo ra một điều đặc biệt!",0
"trong cuộc sống của con người, tôi cũng rất ghét những đứa con to xác nhưng luôn lười biếng và ăn bám trên thân xác những cha mẹ gầy guộc.",1
mấy kiểu này ở việt nam bán lâu rồi,0
các thanh thiếu niên ngày càng dễ dãi nhưng thiếu kiến thức phòng tránh hoặc quá chủ quan dẫn đến những hệ lụy không tốt.,0
"cuộc sống còn nhiều khó khăn thiết nghĩ bà con không nên sinh đẻ nhiều quá, vừa không lo đủ miếng ăn, vừa không đảm bảo việc học hành cho con cái, khổ từ đời cha đến đời con thôi.",0
"không phải nặng,chỉ đơn giản các bé không học trước lớp 1 thì sẽ không học kịp nổi chương trình mà thôi",0
"có xem một tập trong thời gian đó, hình như đang học lớp 5,6 gì thì phải , toi sinh 1984 cảm giác truyện rất ok nhưng thời đó do còn nhỏ nên ít đọc truyện chữ",0
không mợ thì chợ vẫn đông,0
"khả năng bên trong lõi mặt trời có sự sống cấp cao? ngược lại với trái đất, trong lõi của mặt trời lại rất át mẻ",0
khả năng 99 trump vẫn sẽ được tín nhiệm và tái đắc cử.,0
phải sửa chữa thôi bởi vì những vật trưng bầy mỹ thuật trong tòa nhà khong còn mỹ thuật nữa thì sẽ khong phải là viện bảo tàng mỹ thuật.,0
lành bệnh cố gắng kiếp việc an toàn làm kiếm tiền nhé anh chị. hãy nhớ con cái thà chịu gd thiếu thốn vật chất chứ các con không chịu cảnh thiếu thốn cha - mẹ đâu.,0
"tốt nhất hãy gửi bé vào 1 cơ sở thiện nguyện nào đó ít nhất bé sẽ có đc 1 cuộc sống như 1 con người, được ăn được học",0
đọc báo thấy binden hơn trump tất cả các mặt. từ tấm lòng nhân ái cho đến sự ủng hộ của tất cả,0
đề nghị các bác trả lại tên cho em là trái nước nhá.......,0
phải làm gắt gao ngay từ sân bay kẻo ra cộng đồng thật nguy hiểm :(,0
cách ly vĩnh viễn khỏi xã hội. mong các cháu lớn và lên xóa sạch kỹ ức đau khổ này,1
"em cũng đang phân vân kona bản đặc biệt và seltos 1.4 pre. so vớii kona e thấy seltos thiếu phanh ba, hệ thống chống trượt thân xe, hỗ trợ xuống dốc, cảnh báo điểm mù và cảm biến áp xuất lốp. toàn công nghệ an toàn mà thaco lại cắt đi.",0
"nếu không tìm hiểu về trang bị hay so sánh thì seltos luxury ngay và luôn: thiết kế đẹp, rộng hơn, hàng ghế sau rộng hơn có điều hòa phía sau). nếu đã tìm hiểu và so sánh thì sẽ rất là khó chọn, theo mình thì 50 50. nhưng mình sẽ chọn kona (hơn về an toàn)phát biểu của người chưa có xe xd",0
wakanda forever! di sản của anh sẽ tiếp tục được tiếp nối siêu anh hùng của người da màu.,0
cá to quá nên thả nó về tự nhiên đi anh.,0
"nhà em đang chạy cả kia và hyundai nên đánh giá là chất lượng lắp ráp của kia vẫn dưới hyundai, nhựa của kia lắp lởm rất hay bị cọt kẹt, đi hyundai vẫn thấy chắc xe hơn",0
quan trọng là linh kiện thay thế sau khi hết hạn bảo hành.cái này thì bạn chọn fadil là ok nhất.,0
chuyện ly kỳ..!,0
nhật hàn thì cũng vn lắp ráp thôi. thế giới phẳng rồi. khoảng cách không còn xa nhau đâu.,0
một sự cố hy hữu,0
"accent cụ nhé. nhìn xe kiểu châu âu, dáng đẹp, công nghệ tốt",0
nên cho phép chọn đóng 1 lần hoặc nhiều lần để người dân lựa chọn,0
"chúc anh và cháu thật nhiều sức khỏe, hạnh phúc để đạt được thành quả trong cuộc sống và học tập của cháu.",0
cứ vios mà múc bác. toyota number one. rất đẳng cấp.,0
"tôi ủng hộ ông trump, mong ông được thêm một nhiệm kỳ nữa",0
"quá coi thường pháp luật, hôm nay nhìn kỹ mới thấy trước giờ toàn uống bia giả, hệ thống phân phối của nó phải nói quá dữ",0
"khi bạn là cá sấu nước mặn nhưng sống chung và chơi chung hội với cá heo quá lâu thành ra thế, hết biết, điều này cho thấy bạn bè ảnh hưởng đến bạn ra sao ?!",0
cầu mong mọi người bình an! việt nam cố lên! đất nước chiến thắng!,0
không hiểu sao thành phố bố trí khu tạm cư cho người dân chờ đền bù giải tỏa lại là những nơi này.,0
định nghĩa diện tích là một nửa tích của chiều cao và chiều dài cạnh đáy.,0
lúc đầu xe bồn chạy khá chậm nhưng không hiểu vì sao lại không dừng khi đèn đỏ mà chạy luôn vậy,0
nếu dùng đinh đã không tồn tại đến ngày nay.,0
cảm ơn vì 1 bài viết quá chất lượng,0
