"Comment","Toxicity","toxic","severe_toxic","obscene","threat","insult","identity_hate","source","manual_override"
"tình cha ấm áp như vầng thái dương chúc gđ anh quốc tuấn thật nhiều sức khỏe","0","0","0","0","0","0","0","victsd_train","1"
"mừng với tin vui này mong cầu bình yên mãi mãi","0","0","0","0","0","0","0","victsd_train","1"
"that ko the tin đuoc nho con hon pr7 vay ma thi đau 731 tran ghi 634 ban 7 lan gianh giai vua pha luoi 6 qbv 6 giay vang nhin sang pr7 oi thoi qbv thua giay vang thua du thi đau truoc 2 nam cao hon thuan 2 chan con ngoai gia thu nhieu hon mac vong bu suc đong đoi vay ma ko bang","0","0","0","0","0","0","0","aug_no_diacritic","1"
"tuyệt vời xin chúc mừng các bệnh nhân và đội ngũ y bác sỹ","0","0","0","0","0","0","0","victsd_valid","1"
"lý do tấn công kỳ cục nhỉ","0","0","0","0","0","0","0","victsd_valid","1"
"ta i sao la i co nguo i me va nguo i ca u kho n na n the na y khong co n gi đe ta no i vo i loa i nguo i na y thuong ca c con qua may ma ca c cha u đa thoa t đuo c loa i kho n đo","1","1","0","0","0","1","0","aug_no_diacritic","1"
"bài hát không đặc sắc chỉ vì có một hoa nở không màu còn vương vấn mà thôi","0","0","0","0","0","0","0","victsd_train","1"
"hành trình 18 năm bên con của anh thật phi thường chúc gia đình luôn mạnh khỏe hạnh phúc vững tin trên hành trình dài","0","0","0","0","0","0","0","victsd_train","1"
"nhìn mấy cái rìu này rồi liên tưởng đến mấy cái rìu đang bán ngoài chợ hiện tại tự dưng thấy xấu hổ ngay cả cái đinh giữ cán rìu rìu thời nay còn hiếm thấy","0","0","0","0","0","0","0","victsd_valid","0"
"theo quan điểm cá nhân thì tôi thấy có những thứ sau nên lắp khi mua xe lần đầu 1 với những ai đã từng ngồi xe có dán film cách nhiệt thì chắc chắn không bao giờ muốn quay lại ngồi xe không dán film cách nhiệt không nói đến các loại film kém chất lượng film làm màu xe không có film cách nhiệt khó chịu và nóng hơn hẳn xe đã dán film điều đó đã được chứng minh ngoài thực tế rồi chứ không phải trên lý thuyết 2 camera hành trình là cái nên có trong xe nó là bằng chứng khi có tai nạn xảy ra trên đường hoặc là bị công an phạt sai có nhiều người sẽ nói rằng film cách nhiệt hạn chế tầm nhìn camera hành trình gây hao điện nhưng xin thưa rằng 1 các loại film chất lượng tốt vừa giảm nhiệt độ trong xe vừa giảm loá khi trời về chiều tối 2 không phải ngẫu nhiên cái camera hành trình được sinh ra có những vụ tai nạn ở những tuyến đường không có camera giao thông nên người ta mới hay lên các diễn đàn xe để xin video của những người từng đi qua tuyến đường đó thời điểm xảy ra tai nạn nếu không ai muốn lắp thì xin ở đâu để làm bằng chứng còn việc lo ngại về nguồn gốc thì cứ lắp trong hãng có thể giá cao hơn ở ngoài nhưng khi có sự cố cứ đến hãng mà xử lý thôi","1","1","0","1","0","1","0","victsd_valid","0"
"lần nào đọc bài về 2 người này mình cũng xúc động mối tình đẹp quá dù có thế nào cũng không thể cách xa","0","0","0","0","0","0","0","victsd_train","0"
"mẹc đi bộ vuốt râu là có thật ăn hôi pen là có thật luôn","0","0","0","0","0","0","0","victsd_train","1"
"diện tích cầu kính là 161 818 m2 chu vi là 76 928 m","0","0","0","0","0","0","0","victsd_test","0"
"khong the chap nhan đuoc hanh vi bao luc tre em va cung nen xem lai 2 co giao kia co kieu vay thi ko ai an tam ma gui con","0","0","0","0","0","0","0","aug_no_diacritic","1"
"pháp luật cần trừng trị nghiêm những kẻ như thế này rất tội cho các bé vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"lại vẫn lào cai sập cổng trường cách đây hơn 2 năm đã sập tại thị trấn tằng loỏng huyện bảo thắng lào cai làm chết 1 cháu bé rồi","0","0","0","0","0","0","0","victsd_train","0"
"mấy hôm nay em đọc báo thấy bảo nội thất của dòng seltos luxury bị cắt bớt nhiều nên có vẻ chán nếu cá nhân em thì em chọn kona đi cho nó đầm","0","0","0","0","0","0","0","victsd_test","0"
"bạn gắng thêm tý mua fadil bản tiêu chuẩn số tự động luôn đi ngon hơn i10","0","0","0","0","0","0","0","victsd_train","0"
"ôi thương tâm quá sao năm nay nhiều vụ đuối nước mấy cháu một lúc vậy các bậc phụ huynh cần quan tâm hơn chứ những vùng làm nông nghiệp hay có hố tích nước rất sâu mà không có hàng rào bảo vệ vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"nhà từ gò vấp trước đây ra bến xe md mất 110 000 tiền taxi mại mốt ra bến xe mới mất 370 000","0","0","0","0","0","0","0","victsd_train","0"
"khổ thân các fan messi quá bài nào cũng lôi ro vào đc dù chẳng liên quan gì điều đó chứng tỏ ido của các bạn thấp kém quá thấp kém quá các bạn làm như vậy càng làm nhiều người coi thường messi của các bạn hơn mà thôi vl","1","1","0","0","0","1","0","aug_suffix_slang","1"
"ko nên mua xe vinfast nhé bạn tôi đã mua và rất thất vọng vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"testla phải đi học lại hoặc mua lại công nghệ autopilot của trung quốc chăng","0","0","0","0","0","0","0","victsd_train","0"
"ông là kẻ trơ trẽn nhất mọi thời đại là vết dơ của của lịch sử barca nói riêng và thế giới bđ nói chung","1","1","0","0","0","1","0","victsd_valid","1"
"sống vậy coi bộ mà khỏe cái đầu các bạn ạ","0","0","0","0","0","0","0","victsd_train","1"
"đvh hát bolero nghe nhức đầu vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"ông trump nên tiếp tục làm tổng thống","0","0","0","0","0","0","0","victsd_valid","0"
"vài ngày nữa mở đường bay các nước sẽ có nhiều ca nhiễm hy vọng không lây ra cộng đồng thôi vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"cảm ơn các anh những tấm lòng lương thiện tại sao bé được 31 tuần rồi mà người mẹ nào lỡ nhẫn tâm như vậy thương con quá chúc con một đời bình yên vui vẻ","0","0","0","0","0","0","0","victsd_train","1"
"một người cha tuyệt vời tình cha như núi thái sơn nghĩa mẹ như nước trong nguồn chảy ra","0","0","0","0","0","0","0","victsd_train","0"
"ngân hàng lên ngôi vì vay lãi rất thấp mà cho vay vữa rất cao trong khi người có tiền đứng trước tình hình kinh tế hiện nay họ rất khó chọn hướng đầu tư","0","0","0","0","0","0","0","victsd_train","0"
"ac qua","0","0","0","0","0","0","0","aug_no_diacritic","1"
"gia mat net","1","1","0","0","0","1","0","aug_no_diacritic","1"
"350 000 kể từ cuối tháng 7 đến nay giới chức chưa ghi nhận tác dụng phụ đáng kể nào qủa là một con số tuyệt vời nơi bắt đầu sớm là trung quốc thì nơi kết thúc sớm cũng rất có thể là trung quốc","0","0","0","0","0","0","0","victsd_train","0"
